"","Missouri.week","Missouri.total_sequences","Missouri.20I..Alpha..V1.","Missouri.20H..Beta..V2.","Missouri.20J..Gamma..V3.","Missouri.21A..Delta.","Missouri.21I..Delta.","Missouri.21J..Delta.","Missouri.21K..Omicron.","Missouri.21L..Omicron.","Missouri.22A..Omicron.","Missouri.22B..Omicron.","Missouri.22C..Omicron.","Missouri.21B..Kappa.","Missouri.21F..Iota.","Missouri.21G..Lambda.","Missouri.21H..Mu.","Missouri.20B.S.732A","Missouri.21C..Epsilon.","Missouri.S.677H.Robin1","Missouri.S.677P.Pelican","Missouri.20G.S.677H.Robin2","Missouri.20G.S.677H.Yellowhammer","Missouri.20G.S.677H.Bluebird","Missouri.20G.S.677H.Quail"
"1","2020-04-27",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"15","2020-11-09",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2020-11-23",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2020-12-07",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
"18","2020-12-21",117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,1
"19","2021-01-11",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,2,0,1,0,0
"20","2021-01-25",355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,13,3,3,1,1,3
"21","2021-02-08",117,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,1,0,0,0,1
"22","2021-02-22",209,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,6,2,1,0,0,6
"23","2021-03-08",239,95,0,0,0,0,0,0,0,0,0,0,0,14,0,0,26,16,8,4,6,0,0,5
"24","2021-03-22",291,194,0,3,0,0,0,0,0,0,0,0,0,8,0,0,22,14,5,1,0,0,0,0
"25","2021-04-05",374,304,3,16,0,0,0,0,0,0,0,0,1,16,0,1,9,7,2,0,0,0,0,1
"26","2021-04-19",361,291,2,28,3,0,3,0,0,0,0,0,0,9,0,1,7,3,1,0,0,0,0,0
"27","2021-05-03",286,226,1,25,1,0,7,0,0,0,0,0,0,7,0,0,5,2,1,0,0,0,0,0
"28","2021-05-17",226,120,3,6,1,0,85,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"29","2021-05-31",517,114,2,7,11,3,367,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0
"30","2021-06-14",660,31,0,7,4,8,603,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
"31","2021-06-28",999,18,0,4,21,16,930,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"32","2021-07-12",1253,14,0,2,27,20,1187,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"33","2021-07-26",1590,7,0,5,41,69,1463,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"34","2021-08-09",1342,0,0,0,18,42,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",1314,0,0,1,13,70,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",1420,0,0,0,14,85,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",1158,0,0,0,6,36,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",1006,0,0,0,4,32,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",1030,0,0,0,3,19,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",976,0,0,0,1,27,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",850,0,0,0,0,13,833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",1059,0,0,0,0,13,1039,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",1301,0,0,0,0,18,938,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",1660,0,0,0,0,10,376,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",1494,0,0,0,0,1,51,1438,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1086,0,0,0,0,0,10,1066,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",794,0,0,0,0,0,1,762,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",335,0,0,0,0,0,1,295,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",179,0,0,0,0,0,0,119,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",149,0,0,0,0,0,0,49,97,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",246,0,0,0,0,0,0,27,193,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",347,0,0,0,0,0,0,6,267,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",22,0,0,0,0,0,0,0,14,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
