"","Oregon.week","Oregon.total_sequences","Oregon.20I..Alpha..V1.","Oregon.20H..Beta..V2.","Oregon.20J..Gamma..V3.","Oregon.21A..Delta.","Oregon.21I..Delta.","Oregon.21J..Delta.","Oregon.21K..Omicron.","Oregon.21L..Omicron.","Oregon.22A..Omicron.","Oregon.22C..Omicron.","Oregon.21D..Eta.","Oregon.21F..Iota.","Oregon.21G..Lambda.","Oregon.21H..Mu.","Oregon.20B.S.732A","Oregon.20E..EU1.","Oregon.21C..Epsilon.","Oregon.20A.S.439K","Oregon.S.677H.Robin1","Oregon.S.677P.Pelican","Oregon.20A.EU2","Oregon.20A.S.98F","Oregon.20G.S.677H.Robin2","Oregon.20G.S.677H.Yellowhammer","Oregon.20G.S.677R.Roadrunner","Oregon.20G.S.677H.Quail","Oregon.20G.S.677H.Mockingbird"
"1","2020-04-27",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"11","2020-09-14",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"14","2020-10-26",500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"15","2020-11-09",404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"16","2020-11-23",414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,2,0
"17","2020-12-07",238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0
"18","2020-12-21",1149,2,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1,82,3,11,15,1,0,2,9,2,1,0
"19","2021-01-11",603,8,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,94,0,11,8,0,0,0,6,0,0,1
"20","2021-01-25",408,14,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,113,0,14,3,0,0,1,5,0,0,0
"21","2021-02-08",315,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,136,0,11,4,0,0,0,0,0,1,0
"22","2021-02-22",234,17,1,1,0,0,0,0,0,0,0,2,1,0,0,8,0,101,0,9,11,0,0,0,0,0,1,0
"23","2021-03-08",297,29,8,3,0,0,0,0,0,0,0,4,6,0,0,9,0,116,0,4,7,0,0,0,0,0,2,1
"24","2021-03-22",389,104,22,11,0,0,0,0,0,0,0,1,24,0,0,20,0,127,0,1,2,0,0,0,1,0,0,6
"25","2021-04-05",716,349,41,38,0,2,0,0,0,0,0,0,58,0,0,40,0,141,0,0,6,0,0,0,0,0,0,0
"26","2021-04-19",1033,550,57,131,4,0,2,0,0,0,0,1,97,2,1,40,0,113,0,1,8,0,0,0,0,0,0,2
"27","2021-05-03",1091,579,42,223,1,2,1,0,0,0,0,0,83,1,0,40,0,74,0,0,8,0,0,0,0,0,0,0
"28","2021-05-17",699,322,17,204,1,1,1,0,0,0,0,0,41,0,3,54,0,21,0,0,1,0,0,0,0,0,0,0
"29","2021-05-31",441,229,8,110,1,9,3,0,0,0,0,0,42,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",424,219,2,90,7,24,37,0,0,0,0,0,20,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",413,96,2,68,32,32,151,0,0,0,0,0,13,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",1027,122,2,62,111,86,572,0,0,0,0,0,7,2,11,0,0,3,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",2289,62,0,22,217,230,1735,0,0,0,0,0,5,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0
"34","2021-08-09",2665,6,0,19,214,209,2208,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",2295,3,0,8,94,169,2016,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",1802,0,0,0,64,79,1654,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",1283,0,0,0,24,60,1194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",1479,0,0,0,30,54,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",1577,0,0,0,20,57,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",1556,0,0,0,22,42,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",1431,0,0,0,20,52,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",1279,0,0,0,7,32,1230,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",892,0,0,0,3,3,466,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",2983,0,0,0,1,4,208,2768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",3609,0,0,0,0,2,68,3535,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1883,0,0,0,0,0,10,1863,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",1255,0,0,0,0,0,2,1226,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",719,0,0,0,0,0,1,664,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",374,0,0,0,0,0,0,286,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",413,0,0,0,0,0,0,120,286,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",612,0,0,0,0,0,0,66,526,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",453,0,0,0,0,0,0,16,392,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",256,0,0,0,0,0,0,3,189,6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
