"","Texas.week","Texas.total_sequences","Texas.20I..Alpha..V1.","Texas.20H..Beta..V2.","Texas.20J..Gamma..V3.","Texas.21A..Delta.","Texas.21I..Delta.","Texas.21J..Delta.","Texas.21K..Omicron.","Texas.21L..Omicron.","Texas.22A..Omicron.","Texas.22B..Omicron.","Texas.22C..Omicron.","Texas.21B..Kappa.","Texas.21D..Eta.","Texas.21F..Iota.","Texas.21G..Lambda.","Texas.21H..Mu.","Texas.20B.S.732A","Texas.20A.S.126A","Texas.20E..EU1.","Texas.21C..Epsilon.","Texas.20A.S.439K","Texas.S.677H.Robin1","Texas.S.677P.Pelican","Texas.20G.S.677H.Robin2","Texas.20G.S.677H.Yellowhammer","Texas.20G.S.677H.Heron","Texas.20G.S.677H.Bluebird","Texas.20G.S.677H.Quail","Texas.20G.S.677H.Mockingbird"
"1","2020-04-27",243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",4127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"11","2020-09-14",368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"13","2020-10-12",537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"14","2020-10-26",646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,1
"15","2020-11-09",1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,17,0,1,0,0,3,6
"16","2020-11-23",1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,46,0,3,0,0,2,8
"17","2020-12-07",2262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,22,0,30,64,4,3,0,0,1,6
"18","2020-12-21",4763,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,0,4,103,0,64,238,10,5,0,0,11,29
"19","2021-01-11",3029,65,0,4,0,0,0,0,0,0,0,0,0,5,7,0,0,98,0,1,115,1,46,176,13,3,0,3,11,26
"20","2021-01-25",2058,266,1,1,0,0,0,0,0,0,0,0,0,3,4,0,0,81,0,1,110,0,28,117,10,1,0,0,8,23
"21","2021-02-08",2279,281,0,1,0,0,0,0,0,0,0,0,0,5,4,0,0,137,0,0,134,0,21,162,12,0,0,0,19,29
"22","2021-02-22",3621,1109,4,3,0,0,0,0,0,0,0,0,0,8,11,0,0,233,0,2,228,0,31,238,24,2,0,0,9,35
"23","2021-03-08",2642,1513,3,9,0,0,0,0,0,0,0,0,2,8,16,0,0,185,0,4,149,0,8,82,13,0,2,0,5,25
"24","2021-03-22",2268,1543,3,36,0,0,2,0,0,0,0,0,1,9,46,5,1,125,0,2,114,0,0,26,12,0,0,0,2,3
"25","2021-04-05",3124,2284,8,154,4,2,7,0,0,0,0,0,6,10,81,2,5,115,0,1,110,0,2,12,6,0,0,0,0,1
"26","2021-04-19",2974,2291,8,148,25,9,14,0,0,0,0,0,5,11,78,4,13,85,1,2,38,0,0,4,0,0,0,0,0,1
"27","2021-05-03",2559,1944,7,186,18,26,29,0,0,0,0,0,2,4,52,8,43,35,1,0,15,0,0,2,0,0,0,0,0,0
"28","2021-05-17",1426,976,2,112,13,45,34,0,0,0,0,0,3,0,52,6,32,7,0,0,6,0,0,3,0,0,0,0,0,0
"29","2021-05-31",1307,711,0,113,26,110,140,0,0,0,0,0,0,0,18,19,49,7,0,0,1,0,0,0,0,0,0,0,0,0
"30","2021-06-14",1825,648,2,108,59,245,514,0,0,0,0,0,0,0,13,17,56,1,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",3034,351,1,99,144,586,1599,0,0,0,0,0,0,0,10,23,62,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",5248,143,1,92,184,888,3759,0,0,0,0,0,0,0,0,16,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",11177,90,0,69,295,1440,9147,0,0,0,0,0,0,0,0,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",9683,21,1,20,188,1072,8297,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",10466,4,0,9,164,1000,9231,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",9744,4,0,3,125,871,8707,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",5562,0,0,0,44,449,5038,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",4235,0,0,2,32,266,3922,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",3632,0,0,0,14,201,3391,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",3255,1,0,0,14,138,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",2810,0,0,0,13,78,2695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",2326,0,0,0,6,37,1855,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",10522,0,0,0,8,38,1202,9263,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",16761,0,0,0,1,9,362,16363,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",13092,0,0,0,0,2,51,12994,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",8078,0,0,0,0,0,14,7992,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",4630,0,0,0,0,0,2,4498,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",2289,0,0,0,0,0,0,2067,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",1125,0,0,0,0,0,0,719,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",1544,0,0,0,0,0,0,322,1202,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",1607,0,0,0,0,0,1,108,1392,2,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",1875,0,0,0,0,0,0,28,1396,4,4,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",581,0,0,0,0,0,0,7,365,1,8,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
