"","Wyoming.week","Wyoming.total_sequences","Wyoming.20I..Alpha..V1.","Wyoming.20H..Beta..V2.","Wyoming.20J..Gamma..V3.","Wyoming.21A..Delta.","Wyoming.21I..Delta.","Wyoming.21J..Delta.","Wyoming.21K..Omicron.","Wyoming.21L..Omicron.","Wyoming.22C..Omicron.","Wyoming.21D..Eta.","Wyoming.21F..Iota.","Wyoming.21G..Lambda.","Wyoming.21H..Mu.","Wyoming.20B.S.732A","Wyoming.20E..EU1.","Wyoming.21C..Epsilon.","Wyoming.S.677H.Robin1","Wyoming.S.677P.Pelican","Wyoming.20G.S.677H.Robin2","Wyoming.20G.S.677H.Yellowhammer","Wyoming.20G.S.677H.Bluebird","Wyoming.20G.S.677H.Quail","Wyoming.20G.S.677H.Mockingbird"
"1","2020-04-27",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0
"14","2020-10-26",2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0
"15","2020-11-09",3326,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,8,10,0,0,0,0,0
"16","2020-11-23",1710,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,9,5,0,0,1,0,1
"17","2020-12-07",770,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,11,6,7,1,0,0,2,0
"18","2020-12-21",703,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,23,3,0,0,0,3
"19","2021-01-11",373,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,4,11,3,2,0,5,0
"20","2021-01-25",295,3,1,0,0,0,0,0,0,0,0,3,0,0,2,0,58,3,4,0,0,0,1,4
"21","2021-02-08",273,3,0,0,0,0,0,0,0,0,0,12,0,0,2,0,60,1,11,1,0,0,0,0
"22","2021-02-22",125,6,0,0,0,0,0,0,0,0,0,3,0,0,12,0,38,0,4,1,0,0,0,0
"23","2021-03-08",208,36,0,0,0,0,0,0,0,0,0,7,0,0,11,0,73,0,4,4,0,0,0,0
"24","2021-03-22",232,81,0,1,0,0,0,0,0,0,0,4,0,0,22,0,52,0,1,0,0,0,0,0
"25","2021-04-05",234,128,0,1,0,0,1,0,0,0,0,19,0,2,11,0,39,1,0,0,0,0,0,0
"26","2021-04-19",216,144,0,12,0,0,0,0,0,0,0,12,0,0,10,0,23,0,3,0,0,0,0,0
"27","2021-05-03",240,169,0,14,1,0,3,0,0,0,0,20,0,3,11,0,10,1,0,0,0,0,0,0
"28","2021-05-17",248,166,0,13,0,0,26,0,0,0,0,26,0,3,2,0,0,0,0,0,0,0,0,0
"29","2021-05-31",258,132,0,13,1,0,77,0,0,0,3,23,1,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",230,65,0,5,0,3,149,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",295,11,0,6,2,12,249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",374,11,0,1,13,27,305,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",592,4,0,0,48,36,495,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",1049,1,0,0,32,91,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",1559,0,0,0,46,111,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",1442,0,0,0,36,77,1325,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",1236,0,0,0,15,49,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",1152,0,0,0,11,37,1102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",1023,0,0,0,11,31,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",788,0,0,0,2,17,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",490,0,0,0,2,25,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",257,0,0,0,0,5,250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",202,0,0,0,0,11,141,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",1099,0,0,0,0,4,76,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",3074,0,0,0,0,0,42,3028,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1845,0,0,0,0,0,5,1833,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",531,0,0,0,0,0,0,528,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",114,0,0,0,0,0,0,110,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",14,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",14,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",19,0,0,0,0,0,0,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",13,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
